OBJECTID,StopAbbr,StopName,FacingDir,Lighting,ADA_ACCESS,BASE,Route_List,Municipality,County,Ons_Dec19,OFFs_Dec19,Position,LIFT,CURB,CURB_CUT,SIDEWALK,Stop_Type,Latitude,Longitude,Census_2010_Tracts_GA_GEOID10,Census_2010_Tracts_GA_NAMELSAD10,Census_2010_Tracts_GA_INTPTLAT10,Census_2010_Tracts_GA_INTPTLON10,NoCarPercentage19,MedHHI19,TotPop19,PerCapitaInc19,Missing Amenities,Shelter
2777,903950,DONALD L HOLLOWELL PKY @ HAMILTON E HOLMES DR,W,0,Y,CONC,50;853,Atlanta,Fulton,28.236347,57.169874,FS,Y,Y,Y,Y,Sign,33.776651,-84.474323,13121008602,Census Tract 86.02,33.7919704,-84.4904445,18.6,37708,1562,19014.1,Lighting  ,0
2799,905142,MARIETTA ST NW@HAMPTON ST NW,S,1,Y,DIRT,26,Atlanta,Fulton,26.302459,2.752794,NS,Y,Y,Y,Y,Sign,33.777245,-84.408516,13121001002,Census Tract 10.02,33.7763249,-84.3995394,18.4,31042,7305,5419.2,  ,0
2803,904712,MARIETTA BLVD NW @ RICE ST,S,1,N,DIRT,26,Atlanta,Fulton,7.63582,7.988965,FS,N,Y,N,N,Sign,33.777424,-84.426491,13121000700,Census Tract 7,33.7799333,-84.4233152,12.1,84107,3339,25610.9, ADA_Access Sidewalk,0
2942,904480,N HIGHLAND AVE @ VIRGINIA AVE,S,1,Y,CONC,36;816,Atlanta,Fulton,25.720432,13.495724,NS,Y,Y,Y,Y,Sign,33.782677,-84.354515,13121000200,Census Tract 2,33.7916329,-84.3641988,0,158011,6175,107229,  ,0
2969,902334,HIGHTOWER RD NW @ 7TH ST NW,SW,0,N,DIRT,60,Atlanta,Fulton,7.866267,2.547493,NS,Y,Y,N,N,Sign,33.784623,-84.473479,13121008601,Census Tract 86.01,33.7814512,-84.4661915,41.6,22696,4953,12271.6,Lighting ADA_Access Sidewalk,0
2981,902139,MARIETTA BLVD NW @ W MARIETTA ST NW,S,1,N,DIRT,26,Atlanta,Fulton,5.572548,7.763762,FS,N,Y,N,N,Sign,33.78558,-84.427901,13121000700,Census Tract 7,33.7799333,-84.4233152,12.1,84107,3339,25610.9, ADA_Access Sidewalk,0
3141,211499,PERRY BLVD NW @ ODESSA DR NW,SE,1,Y,CONC,26,Atlanta,Fulton,26.337531,2.624639,NS,Y,Y,Y,Y,MARTA Bench,33.794408,-84.44921,13121008700,Census Tract 87,33.7938339,-84.4598776,22,33732,5781,23628.8,  ,0
3151,211916,NORTHSIDE DR NW @ TRABERT AVE NW,S,1,N,DIRT,37,Atlanta,Fulton,13.393059,2.135116,NS,N,Y,N,N,Sign,33.794839,-84.407889,13121008902,Census Tract 89.02,33.7984651,-84.4194299,4.5,72432,8007,55037.8, ADA_Access Sidewalk,0
3205,901800,HOLLYWOOD RD NW@ARNO DR NW,N,1,Y,DIRT,58;60,Atlanta,Fulton,10.247508,87.055648,NS,Y,Y,Y,Y,Sign,33.799111,-84.469953,13121008700,Census Tract 87,33.7938339,-84.4598776,22,33732,5781,23628.8,  ,0
3229,902292,AJAX DR NW @ ABNER TER NW,NE,0,N,DIRT,26,Atlanta,Fulton,5.04293,0.784488,FS,N,Y,N,N,Sign,33.800094,-84.462294,13121008700,Census Tract 87,33.7938339,-84.4598776,22,33732,5781,23628.8,Lighting ADA_Access Sidewalk,0
